id,group,day,pig,wound,folder,source_file
Sample 25 Day 2,P. aeruginosa,Day 2,8,4,data/Pig_day_2/2023-02-22_DB_search_Fredrik_Forsberg_Sample_25_402,230302  30SPD Sample 25_S1-C7_1_7754.d
Sample 26 Day 1,P. aeruginosa,Day 1,8,6,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_26_95,230609 Sample 26 D1_S1-E3_1_8174.d
Sample 26 Day 2,P. aeruginosa,Day 2,8,6,data/Pig_day_2/2023-02-22_DB_search_Fredrik_Forsberg_Sample_26_404,230302  30SPD Sample 26_S1-C8_1_7756.d
Sample 27 Day 1,P. aeruginosa,Day 1,8,10,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_27_98,230609 Sample 27 D1_S1-E4_1_8176.d
Sample 27 Day 2,P. aeruginosa,Day 2,8,10,data/Pig_day_2/2023-02-22_DB_search_Fredrik_Forsberg_Sample_27_406,230302  30SPD Sample 27_S1-C9_1_7758.d
Sample 28 Day 1,P. aeruginosa,Day 1,8,11,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_28_101,230609 Sample 28 D1_S1-E5_1_8178.d
Sample 28 Day 2,P. aeruginosa,Day 2,8,11,data/Pig_day_2/2023-02-22_DB_search_Fredrik_Forsberg_Sample_28_408,230302  30SPD Sample 28_S1-C10_1_7760.d
Sample 29 Day 1,P. aeruginosa,Day 1,11,3,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_29_104,230609 Sample 29 D1_S1-E6_1_8180.d
Sample 3 Day 1,S. aureus,Day 1,2,3,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_3_71,230608 Sample 3 D1_S1-A2_1_8136.d
Sample 3 Day 2,S. aureus,Day 2,2,3,data/Pig_day_2/2023-02-22_DB_search_Fredrik_Forsberg_Sample_3_348,230302  30SPD Sample 3_S1-A3_1_7722.d
Sample 30 Day 1,P. aeruginosa,Day 1,11,4,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_30_107,230609 Sample 30 D1_S1-E7_1_8182.d
Sample 30 Day 2,P. aeruginosa,Day 2,11,4,data/Pig_day_2/2023-02-22_DB_search_Fredrik_Forsberg_Sample_30_412,230302  30SPD Sample 30_S1-C12_1_7764.d
Sample 31 Day 1,P. aeruginosa,Day 1,11,6,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_31_110,230609 Sample 31 D1_S1-E8_1_8184.d
Sample 31 Day 2,P. aeruginosa,Day 2,11,6,data/Pig_day_2/2023-02-22_DB_search_Fredrik_Forsberg_Sample_31_414,230302  30SPD Sample 31_S1-E1_1_7766.d
Sample 32 Day 1,P. aeruginosa,Day 1,11,7,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_32_113,230609 Sample 32 D1_S1-E9_1_8186.d
Sample 32 Day 2,P. aeruginosa,Day 2,11,7,data/Pig_day_2/2023-02-22_DB_search_Fredrik_Forsberg_Sample_32_416,230302  30SPD Sample 32_S1-E2_1_7768.d
Sample 33 Day 1,P. aeruginosa,Day 1,11,8,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_33_116,230609 Sample 33 D1_S1-E10_1_8188.d
Sample 33 Day 2,P. aeruginosa,Day 2,11,8,data/Pig_day_2/2023-02-22_DB_search_Fredrik_Forsberg_Sample_33_380,230302  30SPD Sample 33_S1-E3_1_7770.d
Sample 34 Day 1,Ctrl,Day 1,10,6,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_34_15,230524 Sample 34 D1_S1-A6_1_8109.d
Sample 34 Day 2,Ctrl,Day 2,10,6,data/Pig_day_2/2023-02-22_DB_search_Fredrik_Forsberg_Sample_34_382,230302  30SPD Sample 34_S1-E4_1_7772.d
Sample 35 Day 1,Ctrl,Day 1,10,11,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_35_119,230609 Sample 35 D1_S1-E11_1_8190.d
Sample 35 Day 2,Ctrl,Day 2,10,11,data/Pig_day_2/2023-02-22_DB_search_Fredrik_Forsberg_Sample_35_336,230221 Sample_35_S1-A7_1_7685.d
Sample 36 Day 1,Ctrl,Day 1,14,3,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_36_21,230524 Sample 36 D1_S1-A7_1_8111.d
Sample 36 Day 2,Ctrl,Day 2,14,3,data/Pig_day_2/2023-02-22_DB_search_Fredrik_Forsberg_Sample_36_384,230302  30SPD Sample 36_S1-E5_1_7774.d
Sample 37 Day 1,Ctrl,Day 1,14,6,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_37_122,230609 Sample 37 D1_S1-E12_1_8192.d
Sample 37 Day 2,Ctrl,Day 2,14,6,data/Pig_day_2/2023-02-22_DB_search_Fredrik_Forsberg_Sample_37_338,230221 Sample_37_S1-A8_1_7687.d
Sample 38 Day 1,Ctrl,Day 1,14,7,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_38_125,230609 Sample 38 D1_S1-G1_1_8194.d
Sample 38 Day 2,Ctrl,Day 2,14,7,data/Pig_day_2/2023-02-22_DB_search_Fredrik_Forsberg_Sample_38_386,230302  30SPD Sample 38_S1-E6_1_7776.d
Sample 39 Day 1,Ctrl,Day 1,14,11,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_39_128,230609 Sample 39 D1_S1-G2_1_8196.d
Sample 39 Day 2,Ctrl,Day 2,14,11,data/Pig_day_2/2023-02-22_DB_search_Fredrik_Forsberg_Sample_39_388,230302  30SPD Sample 39_S1-E7_1_7778.d
Sample 4 Day 1,S. aureus,Day 1,2,9,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_4_74,230608 Sample 4 D1_S1-A3_1_8138.d
Sample 4 Day 2,S. aureus,Day 2,2,9,data/Pig_day_2/2023-02-22_DB_search_Fredrik_Forsberg_Sample_4_350,230302  30SPD Sample 4_S1-A4_1_7724.d
Sample 40 Day 1,Ctrl,Day 1,16,3,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_40_24,230524 Sample 40 D1_S1-A8_1_8113.d
Sample 40 Day 2,Ctrl,Day 2,16,3,data/Pig_day_2/2023-02-22_DB_search_Fredrik_Forsberg_Sample_40_390,230302  30SPD Sample 40_S1-E8_1_7780.d
Sample 41 Day 1,Ctrl,Day 1,16,4,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_41_131,230609 Sample 41 D1_S1-G3_1_8198.d
Sample 41 Day 2,Ctrl,Day 2,16,4,data/Pig_day_2/2023-02-22_DB_search_Fredrik_Forsberg_Sample_41_340,230221 Sample_41_S1-A9_1_7689.d
Sample 42 Day 1,Ctrl,Day 1,16,6,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_42_134,230609 Sample 42 D1_S1-G4_1_8200.d
Sample 42 Day 2,Ctrl,Day 2,16,6,data/Pig_day_2/2023-02-22_DB_search_Fredrik_Forsberg_Sample_42_392,230302  30SPD Sample 42_S1-E9_1_7782.d
Sample 43 Day 1,Ctrl,Day 1,16,7,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_43_137,230609 Sample 43 D1_S1-G5_1_8202.d
Sample 43 Day 2,Ctrl,Day 2,16,7,data/Pig_day_2/2023-02-22_DB_search_Fredrik_Forsberg_Sample_43_394,230302  30SPD Sample 43_S1-E10_1_7784.d
Sample 44 Day 1,Ctrl,Day 1,16,8,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_44_140,230609 Sample 44 D1_S1-G6_1_8204.d
Sample 44 Day 2,Ctrl,Day 2,16,8,data/Pig_day_2/2023-02-22_DB_search_Fredrik_Forsberg_Sample_44_396,230302  30SPD Sample 44_S1-E11_1_7786.d
Sample 45 Day 1,Ctrl,Day 1,16,11,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_45_183,230614 Sample 45 D1_S1-A2_1_8218.d
Sample 45 Day 2,Ctrl,Day 2,16,11,data/Pig_day_2/2023-02-22_DB_search_Fredrik_Forsberg_Sample_45_398,230302  30SPD Sample 45_S1-E12_1_7788.d
Sample 46 Day 1,Ctrl,Day 1,24,1,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_46_186,230614 Sample 46 D1_S1-A3_1_8220.d
Sample 46 Day 2,Ctrl,Day 2,24,1,data/Pig_day_2/2023-02-22_DB_search_Fredrik_Forsberg_Sample_46_400,230302  30SPD Sample 46_S1-G1_1_7790.d
Sample 5 Day 1,S. aureus,Day 1,2,10,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_5_77,230608 Sample 5 D1_S1-A4_1_8140.d
Sample 5 Day 2,S. aureus,Day 2,2,10,data/Pig_day_2/2023-02-22_DB_search_Fredrik_Forsberg_Sample_5_352,230302  30SPD Sample 5_S1-A5_1_7726.d
Sample 54 Day 1,S. aureus,Day 1,21,1,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_54_D1_238,230626 Sample 54 D1_S1-A1_1_8307.d
Sample 54 Day 2,Double infection,Day 2,21,1,data/Pig_day_2/Sample_54,230626 Sample 54 D2_S1-C1_1_8319.d
Sample 54 Day 3,Double infection,Day 3,21,1,data/Pig_day_3/Sample_54,20230713 Sample 54 D3_S1-E1_1_8477.d
Sample 55 Day 1,S. aureus,Day 1,21,2,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_55_D1_244,230626 Sample 55 D1_S1-A2_1_8309.d
Sample 55 Day 2,Double infection,Day 2,21,2,data/Pig_day_2/Sample_55,230626 Sample 55 D2_S1-C2_1_8321.d
Sample 55 Day 3,Double infection,Day 3,21,2,data/Pig_day_3/Sample_55,20230713 Sample 55 D3_S1-E2_1_8479.d
Sample 56 Day 1,S. aureus,Day 1,21,5,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_56_D1_250,230626 Sample 56 D1_S1-A3_1_8311.d
Sample 56 Day 2,Double infection,Day 2,21,5,data/Pig_day_2/Sample_56,230626 Sample 56 D2_S1-C3_1_8323.d
Sample 56 Day 3,Double infection,Day 3,21,5,data/Pig_day_3/Sample_56,20230713 Sample 56 D3_S1-E3_1_8481.d
Sample 57 Day 1,S. aureus,Day 1,21,9,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_57_D1_256,230626 Sample 57 D1_S1-A4_1_8313.d
Sample 57 Day 2,Double infection,Day 2,21,9,data/Pig_day_2/Sample_57,230626 Sample 57 D2_S1-C4_1_8325.d
Sample 57 Day 3,Double infection,Day 3,21,9,data/Pig_day_3/Sample_57,20230713 Sample 57 D3_S1-E4_1_8483.d
Sample 6 Day 1,Accidental double infection,Day 1,5,3,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_6_18,230524 Sample 6 D1_S1-A2_1_8101.d
Sample 6 Day 2,Accidental double infection,Day 2,5,3,data/Pig_day_2/2023-02-22_DB_search_Fredrik_Forsberg_Sample_6_354,230302  30SPD Sample 6_S1-A6_1_7728.d
Sample 66 Day 1,S. aureus,Day 1,12,1,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_66_D1_359,20230816 Sample 66 D1 S1-A1_1_8546.d
Sample 66 Day 2,S. aureus,Day 2,12,1,data/Pig_day_2/Sample_66,20230816 Sample 66 D2_S1-C1_1_8536.d
Sample 67 Day 1,S. aureus,Day 1,12,2,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_67_D1_403,20230818 Sample 67 D1_S1-A1_1_8583.d
Sample 67 Day 2,S. aureus,Day 2,12,2,data/Pig_day_2/Sample_67,20230818 Sample 67 D2_S1-A2_1_8585.d
Sample 68 Day 1,S. aureus,Day 1,12,5,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_68_D1_379,20230816 Sample 68 D1_S1-A3_1_8530.d
Sample 68 Day 2,S. aureus,Day 2,12,5,data/Pig_day_2/Sample_68,20230816 Sample 68 D2_S1-C3_1_8540.d
Sample 69 Day 1,S. aureus,Day 1,12,7,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_69_D1_411,20230818 Sample 69 D1_S1-A3_1_8587.d
Sample 69 Day 2,S. aureus,Day 2,12,7,data/Pig_day_2/Sample_69,20230816 Sample 69 D2_S1-C4_1_8542.d
Sample 7 Day 1,Accidental double infection,Day 1,5,4,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_7_80,230608 Sample 7 D1_S1-A5_1_8142.d
Sample 7 Day 2,Accidental double infection,Day 2,5,4,data/Pig_day_2/2023-02-22_DB_search_Fredrik_Forsberg_Sample_7_356,230302  30SPD Sample 7_S1-A7_1_7730.d
Sample 70 Day 1,S. aureus,Day 1,12,8,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_70_D1_391,20230816 Sample 70 D1_S1-A5_1_8534.d
Sample 70 Day 2,S. aureus,Day 2,12,8,data/Pig_day_2/Sample_70,20230816 Sample 70 D2_S1-C5_1_8544.d
Sample 8 Day 1,Accidental double infection,Day 1,5,6,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_8_83,230608 Sample 8 D1_S1-A6_1_8144.d
Sample 8 Day 2,Accidental double infection,Day 2,5,6,data/Pig_day_2/2023-02-22_DB_search_Fredrik_Forsberg_Sample_8_358,230302  30SPD Sample 8_S1-A8_1_7732.d
Sample 9 Day 1,Accidental double infection,Day 1,5,10,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_9_86,230608 Sample 9 D1_S1-A7_1_8146.d
Sample 9 Day 2,Accidental double infection,Day 2,5,10,data/Pig_day_2/2023-02-22_DB_search_Fredrik_Forsberg_Sample_9_342,230221 Sample_9_S1-A1_1_7673.d
